propertyType,transactionType,furnished,address,rooms,bathrooms,surfaceArea,amenities,customAmenities,title,description,price (€)
loft,selling,furnished,"Strada Turnu Măgurele 145, Sector 4, București",3,1,106.7,"['elevator', 'balcony', 'parking', 'dishwasher-washing', 'air-conditioning', 'pool']",[],"Loft in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located loft in Strada Turnu Măgurele 145, Sector 4, București.",166989.7
penthouse,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",3,3,127.6,"['wifi', 'garden', 'air-conditioning', 'pool']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",199475.95
loft,selling,furnished,"Strada Turnu Măgurele 145, Sector 4, București",3,2,105.9,"['pet-friendly', 'garden', 'dishwasher-washing', 'parking', 'gym', 'air-conditioning']",[],"Loft in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located loft in Strada Turnu Măgurele 145, Sector 4, București.",171596.65
house,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",5,2,209.5,"['parking', 'pet-friendly', 'pool', 'elevator', 'wifi']",[],"House in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located house in Strada Turnu Măgurele 145, Sector 4, București.",323961.23
apartment,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",3,1,101.0,"['pet-friendly', 'elevator', 'dishwasher-washing', 'wifi']",[],"Apartment in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located apartment in Strada Matei Basarab 50, Sector 3, București.",148175.89
house,selling,partially-furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",4,3,122.2,"['balcony', 'wifi', 'garden']",[],"House in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located house in Bulevardul Iuliu Maniu 202, Sector 6, București.",204825.49
loft,selling,furnished,"Strada Rahova 89, Sector 5, București",2,1,77.0,"['air-conditioning', 'garden', 'gym', 'balcony', 'pet-friendly', 'elevator']",[],"Loft in Strada Rahova 89, Sector 5, București","Spacious and well-located loft in Strada Rahova 89, Sector 5, București.",110175.55
apartment,selling,furnished,"Strada Lujerului 33, Sector 6, București",4,1,119.1,"['pet-friendly', 'air-conditioning', 'pool']",[],"Apartment in Strada Lujerului 33, Sector 6, București","Spacious and well-located apartment in Strada Lujerului 33, Sector 6, București.",222220.12
studio,selling,furnished,"Strada Băneasa 12, Sector 1, București",1,1,39.4,"['dishwasher-washing', 'air-conditioning', 'wifi', 'pool', 'heating']",[],"Studio in Strada Băneasa 12, Sector 1, București","Spacious and well-located studio in Strada Băneasa 12, Sector 1, București.",88288.99
house,selling,unfurnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",4,4,152.2,"['garden', 'balcony', 'pet-friendly', 'parking']",[],"House in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located house in Bulevardul Iuliu Maniu 202, Sector 6, București.",269923.31
loft,selling,furnished,"Strada Progresului 60, Sector 5, București",2,2,65.7,"['air-conditioning', 'balcony', 'garden', 'pet-friendly', 'heating']",[],"Loft in Strada Progresului 60, Sector 5, București","Spacious and well-located loft in Strada Progresului 60, Sector 5, București.",83709.12
apartment,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",2,1,48.2,"['balcony', 'heating', 'wifi']",[],"Apartment in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located apartment in Strada Matei Basarab 50, Sector 3, București.",76089.96
loft,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",3,1,104.3,"['gym', 'wifi', 'pool', 'garden']",[],"Loft in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located loft in Strada Turnu Măgurele 145, Sector 4, București.",164269.92
studio,selling,furnished,"Strada Lujerului 33, Sector 6, București",1,1,28.8,"['dishwasher-washing', 'wifi', 'pet-friendly', 'air-conditioning']",[],"Studio in Strada Lujerului 33, Sector 6, București","Spacious and well-located studio in Strada Lujerului 33, Sector 6, București.",46530.85
loft,selling,partially-furnished,"Calea Moșilor 155, Sector 2, București",3,1,103.5,"['elevator', 'pool', 'pet-friendly']",[],"Loft in Calea Moșilor 155, Sector 2, București","Spacious and well-located loft in Calea Moșilor 155, Sector 2, București.",181364.53
loft,selling,furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",3,2,106.4,"['parking', 'balcony', 'elevator', 'wifi']",[],"Loft in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located loft in Bulevardul Iuliu Maniu 202, Sector 6, București.",184770.14
house,selling,furnished,"Strada Rahova 89, Sector 5, București",4,4,145.8,"['garden', 'wifi', 'parking', 'gym', 'elevator']",[],"House in Strada Rahova 89, Sector 5, București","Spacious and well-located house in Strada Rahova 89, Sector 5, București.",186245.29
studio,selling,unfurnished,"Bulevardul Decebal 23, Sector 3, București",1,1,27.3,"['elevator', 'pet-friendly', 'parking', 'gym', 'air-conditioning', 'balcony']",[],"Studio in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located studio in Bulevardul Decebal 23, Sector 3, București.",42228.25
studio,selling,unfurnished,"Strada Lujerului 33, Sector 6, București",1,1,26.3,"['elevator', 'air-conditioning', 'wifi', 'pet-friendly']",[],"Studio in Strada Lujerului 33, Sector 6, București","Spacious and well-located studio in Strada Lujerului 33, Sector 6, București.",45226.31
penthouse,selling,unfurnished,"Strada Rahova 89, Sector 5, București",3,3,105.3,"['parking', 'balcony', 'heating', 'elevator', 'garden', 'wifi']",[],"Penthouse in Strada Rahova 89, Sector 5, București","Spacious and well-located penthouse in Strada Rahova 89, Sector 5, București.",156192.18
apartment,selling,furnished,"Strada Rahova 89, Sector 5, București",2,1,42.0,"['dishwasher-washing', 'garden', 'balcony', 'pool', 'pet-friendly']",[],"Apartment in Strada Rahova 89, Sector 5, București","Spacious and well-located apartment in Strada Rahova 89, Sector 5, București.",54826.41
studio,selling,partially-furnished,"Strada Aviației 10, Sector 1, București",1,1,35.6,"['heating', 'pet-friendly', 'balcony', 'garden']",[],"Studio in Strada Aviației 10, Sector 1, București","Spacious and well-located studio in Strada Aviației 10, Sector 1, București.",75266.64
apartment,selling,partially-furnished,"Strada Lujerului 33, Sector 6, București",3,2,113.9,"['pool', 'air-conditioning', 'dishwasher-washing', 'pet-friendly']",[],"Apartment in Strada Lujerului 33, Sector 6, București","Spacious and well-located apartment in Strada Lujerului 33, Sector 6, București.",202441.51
apartment,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",2,1,48.0,"['elevator', 'pool', 'heating']",[],"Apartment in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located apartment in Bulevardul Decebal 23, Sector 3, București.",79375.4
studio,selling,unfurnished,"Strada Lujerului 33, Sector 6, București",1,1,48.5,"['wifi', 'gym']",[],"Studio in Strada Lujerului 33, Sector 6, București","Spacious and well-located studio in Strada Lujerului 33, Sector 6, București.",87434.77
studio,selling,partially-furnished,"Strada Băneasa 12, Sector 1, București",1,1,35.4,"['heating', 'parking']",[],"Studio in Strada Băneasa 12, Sector 1, București","Spacious and well-located studio in Strada Băneasa 12, Sector 1, București.",83712.28
house,selling,unfurnished,"Bulevardul Decebal 23, Sector 3, București",5,2,205.5,"['parking', 'elevator', 'dishwasher-washing', 'air-conditioning', 'garden', 'pool']",[],"House in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located house in Bulevardul Decebal 23, Sector 3, București.",295991.78
apartment,selling,partially-furnished,"Strada Aviației 10, Sector 1, București",2,1,45.2,"['dishwasher-washing', 'wifi']",[],"Apartment in Strada Aviației 10, Sector 1, București","Spacious and well-located apartment in Strada Aviației 10, Sector 1, București.",91369.3
house,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",5,3,203.1,"['pool', 'dishwasher-washing', 'garden', 'balcony', 'wifi']",[],"House in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located house in Bulevardul Decebal 23, Sector 3, București.",327037.86
studio,selling,unfurnished,"Strada Lujerului 33, Sector 6, București",1,1,32.3,"['heating', 'balcony', 'wifi', 'elevator', 'parking']",[],"Studio in Strada Lujerului 33, Sector 6, București","Spacious and well-located studio in Strada Lujerului 33, Sector 6, București.",56778.12
loft,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",2,2,85.2,"['pool', 'parking', 'wifi', 'pet-friendly', 'balcony', 'elevator']",[],"Loft in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located loft in Bulevardul Decebal 23, Sector 3, București.",136039.71
loft,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",2,1,52.6,"['gym', 'wifi', 'dishwasher-washing', 'garden', 'elevator']",[],"Loft in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located loft in Strada Matei Basarab 50, Sector 3, București.",82183.81
house,selling,partially-furnished,"Bulevardul Decebal 23, Sector 3, București",4,4,149.6,"['garden', 'pool', 'dishwasher-washing']",[],"House in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located house in Bulevardul Decebal 23, Sector 3, București.",232169.42
penthouse,selling,partially-furnished,"Strada Progresului 60, Sector 5, București",4,2,147.6,"['heating', 'garden']",[],"Penthouse in Strada Progresului 60, Sector 5, București","Spacious and well-located penthouse in Strada Progresului 60, Sector 5, București.",189804.48
loft,selling,furnished,"Strada Aviației 10, Sector 1, București",2,2,73.2,"['air-conditioning', 'heating', 'parking', 'garden']",[],"Loft in Strada Aviației 10, Sector 1, București","Spacious and well-located loft in Strada Aviației 10, Sector 1, București.",166193.7
apartment,selling,furnished,"Strada Băneasa 12, Sector 1, București",3,2,67.7,"['parking', 'heating', 'dishwasher-washing', 'pool']",[],"Apartment in Strada Băneasa 12, Sector 1, București","Spacious and well-located apartment in Strada Băneasa 12, Sector 1, București.",138586.97
penthouse,selling,furnished,"Strada Progresului 60, Sector 5, București",5,3,222.2,"['pet-friendly', 'wifi']",[],"Penthouse in Strada Progresului 60, Sector 5, București","Spacious and well-located penthouse in Strada Progresului 60, Sector 5, București.",305544.46
house,selling,partially-furnished,"Strada Băneasa 12, Sector 1, București",6,2,245.5,"['pool', 'garden']",[],"House in Strada Băneasa 12, Sector 1, București","Spacious and well-located house in Strada Băneasa 12, Sector 1, București.",561982.32
penthouse,selling,partially-furnished,"Calea Șerban Vodă 112, Sector 4, București",5,2,203.1,"['garden', 'air-conditioning', 'pool', 'parking', 'wifi']",[],"Penthouse in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located penthouse in Calea Șerban Vodă 112, Sector 4, București.",277835.45
apartment,selling,furnished,"Strada Turnu Măgurele 145, Sector 4, București",2,1,48.4,"['pet-friendly', 'pool', 'balcony', 'heating']",[],"Apartment in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located apartment in Strada Turnu Măgurele 145, Sector 4, București.",69917.45
loft,selling,unfurnished,"Strada Progresului 60, Sector 5, București",2,2,77.6,"['garden', 'heating', 'air-conditioning', 'gym', 'parking', 'pet-friendly']",[],"Loft in Strada Progresului 60, Sector 5, București","Spacious and well-located loft in Strada Progresului 60, Sector 5, București.",102031.93
studio,selling,unfurnished,"Strada Rahova 89, Sector 5, București",1,1,38.2,"['balcony', 'wifi', 'elevator', 'parking', 'garden', 'pool']",[],"Studio in Strada Rahova 89, Sector 5, București","Spacious and well-located studio in Strada Rahova 89, Sector 5, București.",54676.19
studio,selling,furnished,"Calea Moșilor 155, Sector 2, București",1,1,41.0,"['pet-friendly', 'elevator']",[],"Studio in Calea Moșilor 155, Sector 2, București","Spacious and well-located studio in Calea Moșilor 155, Sector 2, București.",76279.28
apartment,selling,furnished,"Strada Turnu Măgurele 145, Sector 4, București",3,2,86.8,"['heating', 'pet-friendly', 'garden']",[],"Apartment in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located apartment in Strada Turnu Măgurele 145, Sector 4, București.",133669.93
apartment,selling,unfurnished,"Șoseaua Colentina 85, Sector 2, București",3,2,74.6,"['balcony', 'pet-friendly', 'elevator']",[],"Apartment in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located apartment in Șoseaua Colentina 85, Sector 2, București.",137948.37
house,selling,unfurnished,"Strada Aviației 10, Sector 1, București",4,3,146.6,"['heating', 'elevator', 'pool', 'pet-friendly', 'parking']",[],"House in Strada Aviației 10, Sector 1, București","Spacious and well-located house in Strada Aviației 10, Sector 1, București.",339957.76
studio,selling,unfurnished,"Strada Progresului 60, Sector 5, București",1,1,39.6,"['pool', 'air-conditioning', 'dishwasher-washing']",[],"Studio in Strada Progresului 60, Sector 5, București","Spacious and well-located studio in Strada Progresului 60, Sector 5, București.",54776.77
studio,selling,unfurnished,"Strada Băneasa 12, Sector 1, București",1,1,32.4,"['parking', 'pool', 'balcony', 'gym', 'wifi']",[],"Studio in Strada Băneasa 12, Sector 1, București","Spacious and well-located studio in Strada Băneasa 12, Sector 1, București.",77675.39
penthouse,selling,unfurnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",5,3,229.7,"['gym', 'dishwasher-washing']",[],"Penthouse in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located penthouse in Bulevardul Iuliu Maniu 202, Sector 6, București.",365444.15
loft,selling,furnished,"Strada Turnu Măgurele 145, Sector 4, București",3,1,112.9,"['elevator', 'pet-friendly']",[],"Loft in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located loft in Strada Turnu Măgurele 145, Sector 4, București.",158265.4
house,selling,partially-furnished,"Calea Șerban Vodă 112, Sector 4, București",4,4,196.0,"['wifi', 'pet-friendly', 'elevator', 'gym', 'dishwasher-washing']",[],"House in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located house in Calea Șerban Vodă 112, Sector 4, București.",268481.17
loft,selling,unfurnished,"Strada Rahova 89, Sector 5, București",3,2,100.4,"['balcony', 'pet-friendly', 'pool', 'air-conditioning', 'heating']",[],"Loft in Strada Rahova 89, Sector 5, București","Spacious and well-located loft in Strada Rahova 89, Sector 5, București.",131747.08
penthouse,selling,partially-furnished,"Strada Lujerului 33, Sector 6, București",5,2,206.1,"['parking', 'garden']",[],"Penthouse in Strada Lujerului 33, Sector 6, București","Spacious and well-located penthouse in Strada Lujerului 33, Sector 6, București.",383895.8
studio,selling,partially-furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",1,1,30.2,"['pool', 'balcony']",[],"Studio in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located studio in Bulevardul Iuliu Maniu 202, Sector 6, București.",52273.86
apartment,selling,unfurnished,"Bulevardul Decebal 23, Sector 3, București",4,2,128.4,"['air-conditioning', 'elevator', 'gym']",[],"Apartment in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located apartment in Bulevardul Decebal 23, Sector 3, București.",206841.59
studio,selling,unfurnished,"Strada Băneasa 12, Sector 1, București",1,1,37.4,"['parking', 'heating', 'dishwasher-washing', 'gym']",[],"Studio in Strada Băneasa 12, Sector 1, București","Spacious and well-located studio in Strada Băneasa 12, Sector 1, București.",87738.8
penthouse,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",3,2,130.9,"['pool', 'balcony']",[],"Penthouse in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located penthouse in Strada Turnu Măgurele 145, Sector 4, București.",185020.86
loft,selling,partially-furnished,"Calea Șerban Vodă 112, Sector 4, București",3,1,101.2,"['dishwasher-washing', 'elevator']",[],"Loft in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located loft in Calea Șerban Vodă 112, Sector 4, București.",138713.04
studio,selling,partially-furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",1,1,35.6,"['garden', 'heating', 'pool']",[],"Studio in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located studio in Bulevardul Iuliu Maniu 202, Sector 6, București.",63104.53
penthouse,selling,partially-furnished,"Calea Șerban Vodă 112, Sector 4, București",5,3,200.9,"['dishwasher-washing', 'heating', 'pool', 'air-conditioning', 'balcony', 'garden']",[],"Penthouse in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located penthouse in Calea Șerban Vodă 112, Sector 4, București.",321866.22
penthouse,selling,partially-furnished,"Strada Lujerului 33, Sector 6, București",3,3,114.4,"['garden', 'dishwasher-washing', 'pool']",[],"Penthouse in Strada Lujerului 33, Sector 6, București","Spacious and well-located penthouse in Strada Lujerului 33, Sector 6, București.",189810.22
apartment,selling,furnished,"Strada Lujerului 33, Sector 6, București",2,2,61.8,"['heating', 'dishwasher-washing', 'pet-friendly', 'parking', 'balcony']",[],"Apartment in Strada Lujerului 33, Sector 6, București","Spacious and well-located apartment in Strada Lujerului 33, Sector 6, București.",106708.33
studio,selling,partially-furnished,"Strada Rahova 89, Sector 5, București",1,1,36.7,"['garden', 'air-conditioning', 'pool']",[],"Studio in Strada Rahova 89, Sector 5, București","Spacious and well-located studio in Strada Rahova 89, Sector 5, București.",48605.78
apartment,selling,furnished,"Calea Moșilor 155, Sector 2, București",3,1,95.3,"['heating', 'balcony', 'gym', 'dishwasher-washing', 'wifi', 'air-conditioning']",[],"Apartment in Calea Moșilor 155, Sector 2, București","Spacious and well-located apartment in Calea Moșilor 155, Sector 2, București.",170386.02
penthouse,selling,furnished,"Strada Matei Basarab 50, Sector 3, București",4,3,154.0,"['heating', 'wifi', 'pet-friendly', 'gym', 'parking', 'balcony']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",247909.72
apartment,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",3,1,97.8,"['parking', 'gym']",[],"Apartment in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located apartment in Bulevardul Decebal 23, Sector 3, București.",160944.4
studio,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",1,1,38.6,"['parking', 'pet-friendly', 'balcony', 'heating', 'dishwasher-washing', 'wifi']",[],"Studio in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located studio in Bulevardul Decebal 23, Sector 3, București.",67175.51
studio,selling,partially-furnished,"Strada Băneasa 12, Sector 1, București",1,1,37.8,"['air-conditioning', 'balcony', 'parking', 'heating']",[],"Studio in Strada Băneasa 12, Sector 1, București","Spacious and well-located studio in Strada Băneasa 12, Sector 1, București.",85876.44
loft,selling,furnished,"Strada Matei Basarab 50, Sector 3, București",2,1,78.7,"['heating', 'balcony', 'air-conditioning', 'wifi', 'dishwasher-washing']",[],"Loft in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located loft in Strada Matei Basarab 50, Sector 3, București.",115940.84
loft,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",2,2,68.2,"['heating', 'elevator', 'wifi', 'parking', 'balcony', 'pool']",[],"Loft in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located loft in Strada Turnu Măgurele 145, Sector 4, București.",95068.14
penthouse,selling,furnished,"Strada Progresului 60, Sector 5, București",5,2,183.6,"['garden', 'parking', 'heating']",[],"Penthouse in Strada Progresului 60, Sector 5, București","Spacious and well-located penthouse in Strada Progresului 60, Sector 5, București.",277688.71
apartment,selling,furnished,"Strada Progresului 60, Sector 5, București",4,1,127.2,"['parking', 'air-conditioning', 'gym']",[],"Apartment in Strada Progresului 60, Sector 5, București","Spacious and well-located apartment in Strada Progresului 60, Sector 5, București.",188873.29
apartment,selling,furnished,"Calea Șerban Vodă 112, Sector 4, București",3,1,84.4,"['pet-friendly', 'parking']",[],"Apartment in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located apartment in Calea Șerban Vodă 112, Sector 4, București.",137878.81
apartment,selling,furnished,"Strada Matei Basarab 50, Sector 3, București",2,1,45.0,"['pool', 'elevator']",[],"Apartment in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located apartment in Strada Matei Basarab 50, Sector 3, București.",75721.11
penthouse,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",5,2,191.9,"['dishwasher-washing', 'elevator', 'gym']",[],"Penthouse in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located penthouse in Bulevardul Decebal 23, Sector 3, București.",294713.75
house,selling,partially-furnished,"Strada Progresului 60, Sector 5, București",6,3,243.1,"['pool', 'dishwasher-washing', 'balcony', 'air-conditioning', 'wifi', 'heating']",[],"House in Strada Progresului 60, Sector 5, București","Spacious and well-located house in Strada Progresului 60, Sector 5, București.",360347.04
penthouse,selling,unfurnished,"Strada Aviației 10, Sector 1, București",4,3,180.7,"['parking', 'pet-friendly', 'elevator']",[],"Penthouse in Strada Aviației 10, Sector 1, București","Spacious and well-located penthouse in Strada Aviației 10, Sector 1, București.",379720.66
penthouse,selling,partially-furnished,"Strada Matei Basarab 50, Sector 3, București",4,3,202.6,"['pet-friendly', 'air-conditioning', 'balcony', 'gym']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",352887.58
house,selling,furnished,"Strada Matei Basarab 50, Sector 3, București",6,2,247.1,"['wifi', 'pool', 'elevator']",[],"House in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located house in Strada Matei Basarab 50, Sector 3, București.",376904.4
apartment,selling,partially-furnished,"Strada Aviației 10, Sector 1, București",4,1,128.6,"['wifi', 'dishwasher-washing']",[],"Apartment in Strada Aviației 10, Sector 1, București","Spacious and well-located apartment in Strada Aviației 10, Sector 1, București.",288885.37
penthouse,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",3,3,130.4,"['parking', 'wifi', 'pet-friendly', 'elevator', 'dishwasher-washing']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",197960.97
studio,selling,unfurnished,"Strada Progresului 60, Sector 5, București",1,1,36.5,"['balcony', 'gym', 'parking', 'wifi']",[],"Studio in Strada Progresului 60, Sector 5, București","Spacious and well-located studio in Strada Progresului 60, Sector 5, București.",53400.92
penthouse,selling,furnished,"Bulevardul Decebal 23, Sector 3, București",4,2,156.1,"['pet-friendly', 'parking', 'gym', 'pool']",[],"Penthouse in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located penthouse in Bulevardul Decebal 23, Sector 3, București.",235433.98
loft,selling,partially-furnished,"Calea Șerban Vodă 112, Sector 4, București",3,1,95.3,"['pet-friendly', 'pool']",[],"Loft in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located loft in Calea Șerban Vodă 112, Sector 4, București.",133190.95
studio,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",1,1,45.7,"['dishwasher-washing', 'balcony', 'gym', 'heating', 'parking', 'wifi']",[],"Studio in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located studio in Strada Turnu Măgurele 145, Sector 4, București.",68986.76
penthouse,selling,unfurnished,"Bulevardul Decebal 23, Sector 3, București",4,2,152.3,"['air-conditioning', 'balcony']",[],"Penthouse in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located penthouse in Bulevardul Decebal 23, Sector 3, București.",242069.68
penthouse,selling,unfurnished,"Strada Matei Basarab 50, Sector 3, București",5,3,195.8,"['dishwasher-washing', 'wifi']",[],"Penthouse in Strada Matei Basarab 50, Sector 3, București","Spacious and well-located penthouse in Strada Matei Basarab 50, Sector 3, București.",318925.84
loft,selling,furnished,"Strada Băneasa 12, Sector 1, București",3,1,103.8,"['garden', 'pool', 'pet-friendly', 'heating']",[],"Loft in Strada Băneasa 12, Sector 1, București","Spacious and well-located loft in Strada Băneasa 12, Sector 1, București.",217291.94
house,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",4,3,149.2,"['pool', 'heating', 'air-conditioning']",[],"House in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located house in Strada Turnu Măgurele 145, Sector 4, București.",202791.92
studio,selling,partially-furnished,"Bulevardul Decebal 23, Sector 3, București",1,1,37.5,"['pet-friendly', 'garden', 'gym', 'parking', 'dishwasher-washing']",[],"Studio in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located studio in Bulevardul Decebal 23, Sector 3, București.",59273.9
penthouse,selling,unfurnished,"Bulevardul Decebal 23, Sector 3, București",4,2,152.2,"['garden', 'gym', 'dishwasher-washing', 'elevator', 'heating']",[],"Penthouse in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located penthouse in Bulevardul Decebal 23, Sector 3, București.",226331.68
studio,selling,partially-furnished,"Strada Turnu Măgurele 145, Sector 4, București",1,1,33.5,"['wifi', 'air-conditioning', 'pool', 'garden', 'gym', 'elevator']",[],"Studio in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located studio in Strada Turnu Măgurele 145, Sector 4, București.",53245.06
apartment,selling,unfurnished,"Calea Moșilor 155, Sector 2, București",4,2,114.1,"['pet-friendly', 'dishwasher-washing']",[],"Apartment in Calea Moșilor 155, Sector 2, București","Spacious and well-located apartment in Calea Moșilor 155, Sector 2, București.",199812.55
penthouse,selling,partially-furnished,"Șoseaua Colentina 85, Sector 2, București",4,2,155.2,"['heating', 'wifi', 'balcony']",[],"Penthouse in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located penthouse in Șoseaua Colentina 85, Sector 2, București.",282450.37
house,selling,furnished,"Bulevardul Iuliu Maniu 202, Sector 6, București",5,3,177.3,"['parking', 'air-conditioning', 'pool', 'gym', 'dishwasher-washing', 'garden']",[],"House in Bulevardul Iuliu Maniu 202, Sector 6, București","Spacious and well-located house in Bulevardul Iuliu Maniu 202, Sector 6, București.",273052.39
house,selling,unfurnished,"Strada Turnu Măgurele 145, Sector 4, București",4,4,133.3,"['balcony', 'pet-friendly', 'dishwasher-washing', 'parking', 'pool']",[],"House in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located house in Strada Turnu Măgurele 145, Sector 4, București.",180343.94
studio,selling,partially-furnished,"Șoseaua Colentina 85, Sector 2, București",1,1,43.1,"['parking', 'elevator']",[],"Studio in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located studio in Șoseaua Colentina 85, Sector 2, București.",80278.07
loft,selling,furnished,"Șoseaua Colentina 85, Sector 2, București",2,1,78.7,"['dishwasher-washing', 'elevator', 'pool', 'garden', 'wifi', 'balcony']",[],"Loft in Șoseaua Colentina 85, Sector 2, București","Spacious and well-located loft in Șoseaua Colentina 85, Sector 2, București.",137181.57
penthouse,selling,unfurnished,"Calea Șerban Vodă 112, Sector 4, București",3,3,141.5,"['gym', 'dishwasher-washing', 'elevator']",[],"Penthouse in Calea Șerban Vodă 112, Sector 4, București","Spacious and well-located penthouse in Calea Șerban Vodă 112, Sector 4, București.",213506.73
loft,selling,partially-furnished,"Strada Progresului 60, Sector 5, București",2,1,85.4,"['heating', 'dishwasher-washing']",[],"Loft in Strada Progresului 60, Sector 5, București","Spacious and well-located loft in Strada Progresului 60, Sector 5, București.",121558.57
apartment,selling,unfurnished,"Bulevardul Decebal 23, Sector 3, București",3,2,81.4,"['garden', 'dishwasher-washing', 'heating', 'air-conditioning', 'pool']",[],"Apartment in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located apartment in Bulevardul Decebal 23, Sector 3, București.",119346.7
studio,selling,partially-furnished,"Strada Progresului 60, Sector 5, București",1,1,41.9,"['parking', 'heating']",[],"Studio in Strada Progresului 60, Sector 5, București","Spacious and well-located studio in Strada Progresului 60, Sector 5, București.",57143.08
studio,selling,partially-furnished,"Bulevardul Decebal 23, Sector 3, București",1,1,40.3,"['heating', 'pool', 'parking']",[],"Studio in Bulevardul Decebal 23, Sector 3, București","Spacious and well-located studio in Bulevardul Decebal 23, Sector 3, București.",69326.13
loft,selling,partially-furnished,"Strada Turnu Măgurele 145, Sector 4, București",2,2,66.7,"['gym', 'pet-friendly']",[],"Loft in Strada Turnu Măgurele 145, Sector 4, București","Spacious and well-located loft in Strada Turnu Măgurele 145, Sector 4, București.",108139.37
